AASIST + FFDiff,,,,,,,,,,,MHFA + FFDiff,,,,,,,,,
10,25.4484176780695,"[25.11%, 25.73%]",3.6898,20.253220697382226,"[19.98%, 20.52%]",3.7051,22.756682058987344,"[22.46%, 23.04%]",3.7305,,10,8.871446673056745,"[8.66%, 9.07%]",3.4673,7.4134051137909145,"[7.24%, 7.61%]",3.4884,7.177386403378107,"[7.00%, 7.36%]",3.4641
15,27.447355251738927,"[27.11%, 27.79%]",5.5341,22.03641127935443,"[21.76%, 22.32%]",5.5546,22.69679989767237,"[22.42%, 23.00%]",5.5936,,15,8.134790034066034,"[7.94%, 8.33%]",5.2023,6.690167836742096,"[6.48%, 6.85%]",5.2204,7.183034046604406,"[6.98%, 7.36%]",5.1979
20,22.139608596816185,"[21.85%, 22.44%]",7.3760,16.29253293265806,"[16.06%, 16.55%]",7.4018,21.764110915378936,"[21.47%, 22.07%]",7.4555,,20,7.6756149048612095,"[7.50%, 7.87%]",6.9322,5.55579886791964,"[5.39%, 5.71%]",6.9565,8.182095255365724,"[7.99%, 8.35%]",6.8795
25,23.180780248176884,"[22.93%, 23.50%]",9.2195,16.24968427392718,"[15.99%, 16.53%]",9.2544,19.415024319003148,"[19.14%, 19.70%]",9.3205,,25,8.019740359830577,"[7.84%, 8.21%]",8.6666,6.881576104555523,"[6.71%, 7.06%]",8.6876,7.638413889356633,"[7.44%, 7.81%]",8.5592
30,20.986910838957034,"[20.68%, 21.30%]",11.0634,15.005356203774467,"[14.76%, 15.24%]",11.1042,17.594347369920857,"[17.33%, 17.87%]",11.1877,,30,5.6569626827973005,"[5.49%, 5.82%]",10.4085,5.952397057109179,"[5.79%, 6.11%]",10.4172,5.758217070580159,"[5.59%, 5.91%]",10.2392
,,,,,,,,,,,,,,,,,,,,
AASIST + FFAttn3,,,,,,,,,,,MHFA + FFattn3,,,,,,,,,
,MLAAD_intermediate_42,,,MLAAD_intermediate_123,,,MLAAD_intermediate_222,,,,,MLAAD_intermediate_42,,,MLAAD_intermediate_123,,,MLAAD_intermediate_222,,
Epoch #,EER (%),CI 95%,GPU hrs,EER (%),CI 95%,GPU hrs,EER (%),CI 95%,GPU hrs,,Epoch #,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs,EER (%),CI 95%,GPU Hrs
5,24.589859008069638,"[24.26%, 24.92%]",4.8791,23.97981904848257,"[23.67%, 24.29%]",5.1045,31.460606323588458,"[31.16%, 31.80%]",4.9668,,5,5.279793790396746,"[5.07%, 5.46%]",3.7535,6.359280597904227,"[6.18%, 6.55%]",,7.880261388806134,"[7.68%, 8.06%]",3.7578
10,15.789770928590857,"[15.49%, 16.07%]",9.9327,17.14535338652643,"[16.88%, 17.39%]",10.2702,21.05494064349831,"[20.77%, 21.36%]",10.0591,,10,6.830670375503542,"[6.64%, 7.04%]",7.5120,5.639838607,"[5.46%, 5.84%]",3.7351,6.080037304249835,"[5.91%, 6.26%]",7.5072
15,16.38009623978343,"[16.09%, 16.66%]",14.9109,18.754726273590407,"[18.50%, 19.02%]",15.4435,18.348866300532364,"[18.08%, 18.64%]",15.1607,,15,6.730154203852182,"[6.53%, 6.97%]",11.2679,6.875190245,"[6.68%, 7.09%]",4.1158,5.674824974418093,"[5.50%, 5.85%]",11.2496
20,15.675278324676501,"[15.42%, 15.94%]",19.8890,18.834880153620972,"[18.56%, 19.11%]",20.6108,21.329093364247502,"[21.04%, 21.66%]",20.1960,,20,6.099104309418028,"[5.93%, 6.27%]",15.0256,6.310965441757445,"[6.12%, 6.54%]",4.0899,6.209153983653485,"[6.02%, 6.40%]",14.9851
25,14.96472219343808,"[14.69%, 15.26%]",24.7631,17.324728151755757,"[17.07%, 17.59%]",25.7811,17.020679636801678,"[16.77%, 17.29%]",25.2013,,25,5.7447977086382656,"[5.58%, 5.92%]",18.7872,7.885351961711333,"[7.68%, 8.10%]",4.0757,7.314741298913255,"[7.10%, 7.53%]",18.7195
30,14.865501308239319,"[14.61%, 15.14%]",29.5795,16.02,,30.9222,22.59498843956841,"[22.25%, 22.93%]",33.0404,,30,5.779136432522052,"[5.59%, 5.98%]",22.5325,7.015135714,"[6.82%, 7.21%]",3.993,4.875229103791304,"[4.71%, 5.04%]",22.4658
